SKU,SALDO,IDMARCA,MARCA,DATA
|01010001001205,1749.6,14,Elizabeth,2022-08-02 19:35
|01010001002268,2835.0,14,Elizabeth,2022-08-02 19:35
|01010001002650,1458.0,14,Elizabeth,2022-08-02 19:35
|01010001002675,1555.2,14,Elizabeth,2022-08-02 19:35
1040009002161,1923.04,14,Elizabeth,2022-08-02 19:35
1040001002669,1536.6,14,Elizabeth,2022-08-02 19:35
1040001002669,2600.4,14,Elizabeth,2022-08-02 19:35
|0101000101044,2041.2,14,Elizabeth,2022-08-02 19:35
|1040001002340,2964.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2476.8,14,Elizabeth,2022-08-02 19:35
|01010001001616,2476.8,14,Elizabeth,2022-08-02 19:35
|01010001001616,2683.2,14,Elizabeth,2022-08-02 19:35
|01010001001616,1135.2,14,Elizabeth,2022-08-02 19:35
|01010001002747,1360.8,14,Elizabeth,2022-08-02 19:35
|10400010022NW,2793.0,14,Elizabeth,2022-08-02 19:35
|1040001002PIQ,2718.0,14,Elizabeth,2022-08-02 19:35
|1040001002PIQ,2582.1,14,Elizabeth,2022-08-02 19:35
|1040001002PIQ,1947.9,14,Elizabeth,2022-08-02 19:35
|1040001002PJC,1938.0,14,Elizabeth,2022-08-02 19:35
|01010001002268,1134.0,14,Elizabeth,2022-08-02 19:35
|01010001001028,1020.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,2683.2,14,Elizabeth,2022-08-02 19:35
|01010001002697,1510.96,14,Elizabeth,2022-08-02 19:35
|1040001002PNX,1596.0,14,Elizabeth,2022-08-02 19:35
|1040001002PMZ,1539.0,14,Elizabeth,2022-08-02 19:35
|1040001002323,2736.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2580.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2786.4,14,Elizabeth,2022-08-02 19:35
|01010001001616,2683.2,14,Elizabeth,2022-08-02 19:35
|01010001002752,1652.4,14,Elizabeth,2022-08-02 19:35
|10400010022NW,1140.0,14,Elizabeth,2022-08-02 19:35
|01010001002724,1749.6,14,Elizabeth,2022-08-02 19:35
|01010001002722,2041.2,14,Elizabeth,2022-08-02 19:35
|1040001002PMY,1425.0,14,Elizabeth,2022-08-02 19:35
|1040001002PMZ,2280.0,14,Elizabeth,2022-08-02 19:35
|1040001002PMZ,2337.0,14,Elizabeth,2022-08-02 19:35
|01010001001199,1749.6,14,Elizabeth,2022-08-02 19:35
|01010001002269,2106.0,14,Elizabeth,2022-08-02 19:35
|01010001001038,1603.8,14,Elizabeth,2022-08-02 19:35
|1040001002315,1311.0,14,Elizabeth,2022-08-02 19:35
|1040001002317,1083.0,14,Elizabeth,2022-08-02 19:35
|1040001002340,1311.0,14,Elizabeth,2022-08-02 19:35
|1040001001347,1938.0,14,Elizabeth,2022-08-02 19:35
|01010001002094,1782.0,14,Elizabeth,2022-08-02 19:35
|01010001002594,2044.24,14,Elizabeth,2022-08-02 19:35
|01010001001203,2041.2,14,Elizabeth,2022-08-02 19:35
|01010001002650,1360.8,14,Elizabeth,2022-08-02 19:35
1040001001415,1241.1,14,Elizabeth,2022-08-02 19:35
|1040001002PLS,1347.84,14,Elizabeth,2022-08-02 19:35
|01010001001616,2683.2,14,Elizabeth,2022-08-02 19:35
|01010001001616,2889.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,2476.8,14,Elizabeth,2022-08-02 19:35
|01010001001616,2580.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2580.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,1341.6,14,Elizabeth,2022-08-02 19:35
|01010001002748,1166.4,14,Elizabeth,2022-08-02 19:35
|01010001002755,2235.6,14,Elizabeth,2022-08-02 19:35
|01010001001210,1312.2,14,Elizabeth,2022-08-02 19:35
|01010001002270,1053.0,14,Elizabeth,2022-08-02 19:35
|01010001002272,2106.0,14,Elizabeth,2022-08-02 19:35
|01010001002648,1166.4,14,Elizabeth,2022-08-02 19:35
|01010001002641,1360.8,14,Elizabeth,2022-08-02 19:35
|0101000101049,2332.8,14,Elizabeth,2022-08-02 19:35
|1040001002PMD,1117.8,14,Elizabeth,2022-08-02 19:35
|1040001001347,1026.0,14,Elizabeth,2022-08-02 19:35
|01010001002568,3474.4,14,Elizabeth,2022-08-02 19:35
|01010001001616,2683.2,14,Elizabeth,2022-08-02 19:35
|01010001001616,2064.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2786.4,14,Elizabeth,2022-08-02 19:35
|01010001001616,2580.0,14,Elizabeth,2022-08-02 19:35
|01010001002751,1458.0,14,Elizabeth,2022-08-02 19:35
|01010001002743,1458.0,14,Elizabeth,2022-08-02 19:35
|1040001002P00,1026.0,14,Elizabeth,2022-08-02 19:35
|1040001002PNU,2223.0,14,Elizabeth,2022-08-02 19:35
|1040001002PNW,2850.0,14,Elizabeth,2022-08-02 19:35
|1040001002PNW,2337.0,14,Elizabeth,2022-08-02 19:35
|1040001002PNZ,2337.0,14,Elizabeth,2022-08-02 19:35
|1040001002PLU,1291.68,14,Elizabeth,2022-08-02 19:35
|1040001002PLW,1740.96,14,Elizabeth,2022-08-02 19:35
1040009003009,2661.12,14,Elizabeth,2022-08-02 19:35
1040009003009,1108.8,14,Elizabeth,2022-08-02 19:35
1040009003011,2716.56,14,Elizabeth,2022-08-02 19:35
1040009003013,1496.88,14,Elizabeth,2022-08-02 19:35
1040009003013,1275.12,14,Elizabeth,2022-08-02 19:35
1040009003015,3714.48,14,Elizabeth,2022-08-02 19:35
1040009003015,3769.92,14,Elizabeth,2022-08-02 19:35
1040009002978,3201.0,14,Elizabeth,2022-08-02 19:35
1040009002979,4656.0,14,Elizabeth,2022-08-02 19:35
1040001003066,2649.6,14,Elizabeth,2022-08-02 19:35
1040001003091,1747.2,14,Elizabeth,2022-08-02 19:35
1040001003067,3456.0,14,Elizabeth,2022-08-02 19:35
1040001003068,1244.16,14,Elizabeth,2022-08-02 19:35
1040001003069,2211.84,14,Elizabeth,2022-08-02 19:35
1040001003069,2044.8,14,Elizabeth,2022-08-02 19:35
1040001003069,2903.04,14,Elizabeth,2022-08-02 19:35
1040009002854,1748.7,14,Elizabeth,2022-08-02 19:35
|01010001002595,1510.96,14,Elizabeth,2022-08-02 19:35
1040001002828,2713.5,14,Elizabeth,2022-08-02 19:35
1040001002979,1644.75,14,Elizabeth,2022-08-02 19:35
1040001002975,1526.4,14,Elizabeth,2022-08-02 19:35
1040001002841,3015.0,14,Elizabeth,2022-08-02 19:35
1040010002016,1276.05,14,Elizabeth,2022-08-02 19:35
1040001002842,4582.8,14,Elizabeth,2022-08-02 19:35
1040001002842,2472.3,14,Elizabeth,2022-08-02 19:35
|1040007001010,3782.4,14,Elizabeth,2022-08-02 19:35
|1040007001010,3014.1,14,Elizabeth,2022-08-02 19:35
|1040007001010,1004.7,14,Elizabeth,2022-08-02 19:35
